Username,Content,Location,Created at
HAY0UNGS0NG,sebelum pembelajaran perlu cek kondisi,,2022-02-09 05:02:31+00:00
honeylkiii,aku tim pjj,,2022-02-09 05:02:02+00:00
yyahmde,harus taat prokes karena pembelajaran tatap muka,,2022-02-09 05:02:01+00:00
Cloudysmoody,pengen pembelajaran tatap muka,,2022-02-09 05:02:00+00:00
babymoontaeil54,gak sabar pembelajaran tatap muka terbatas,,2022-02-09 05:01:44+00:00
straunns,sedih pembelajaran tatap muka  diberhentikan ,,2022-02-09 05:01:29+00:00
jejeydisini_,pembelajaran tatap muka terserah deh ,,2022-02-09 05:01:26+00:00
melaiueoo,"seru ptm, ketemu temen",,2022-02-09 05:00:18+00:00
rebeccacityx,ptm pasti seru,,2022-02-09 05:00:10+00:00
kanzlerir,pembelajaran tatap muka dihentikan sementara,,2022-02-09 05:00:10+00:01
